10.001	10.002	7.621	2.956	7.728	1.66	1.743	2.029	1.416	0.213	1.672	1.519	0.416	1.85	1.392	0.969	2.133	1.867	1.67	2.264	1.993	7.632	0.107	1.387	1.899	2.041	1.727	2.538	1.86	0.264	2.498	0.128	9.602	0.781	5.126	1.005	0.078	2.98	1.335	2.891	9.329	0.28	1.685	4.002	2.875	1.218	1.328	0.756	2.341	10.002	1.301	4.371	4.734	3.339	4.043	0.527	7.509	0.733	3.397	1.486	4.985	
10.002	10.003	9.399	4.635	3.382	5.025	1.392	1.509	2.119	1.493	0.883	0.303	3.646	1.695	5.029	1.365	1.217	3.453	1.945	2	4.829	0.184	0.451	0.402	3.21	4.263	2.24	2.648	0.85	1.253	0.372	0.539	8.01	0.408	2.956	0.705	0.044	1.586	0.353	1.631	7.957	2.025	5.634	6.854	1.471	8.851	0.249	2.644	1.01	3.316	3.72	7.784	3.429	1.492	10.001	1.025	10.001	5.958	2.186	2.918	1.154	
10.001	10.002	6.813	8.682	4.31	10.002	1.613	2.847	0.356	3.024	2.47	9.654	1.667	1.805	3.76	4.275	1.44	1.063	1.7	2.55	0.442	5.186	0.749	0.159	0.894	0.457	0.57	2.635	0.827	1.235	2.62	2.024	0.102	0.571	4.922	0.886	4.226	6.286	1.434	0.836	2.434	8.065	1.808	10.001	1.976	1.375	3.443	2.716	5.063	3.773	1.497	4.673	8.007	10.001	1.9	1.018	1.395	1.46	1.79	4.098	6.404	
10.002	10.002	10.002	10.002	3.899	2.327	3.168	5.532	0.61	1.791	3.849	0.27	1.104	1.551	3.388	0.385	2.952	0.203	1.161	0.394	0.194	1.537	0.148	3.855	1.908	0.555	0.202	6.631	1.216	0.581	2.569	3.047	1.254	2.116	0.589	1.937	8.244	1.08	0.919	0.786	0.993	1.323	2.339	0.899	10.001	3.841	1.816	2.186	4.943	0.662	6.399	3.158	2.065	9.382	1.865	3.763	5.233	5.043	1.949	5.166	1.635	
10.001	10.002	4.188	4.052	5.394	6.274	3.249	2.824	2.633	0.585	1.424	2.635	1.817	0.625	0.697	2.551	3.579	0.36	1.077	4.418	0.396	0.879	2.765	2.716	0.665	0.342	4.932	1.339	2.525	0.179	0.463	2.328	0.073	0.147	1.436	1.766	1.353	1.313	2.109	6.588	1.98	3.546	5.209	3.694	0.398	3.159	10.005	0.834	1.197	1.391	0.631	4.682	2.918	6.695	8.397	1.431	3.253	1.822	0.884	4.541	1.473	
10.001	10.002	10.004	3.246	6.313	9.284	3.707	0.924	5.772	0.283	1.825	8.063	2.479	1.674	4.96	1.66	0.885	0.441	3.258	3.484	0.628	2.426	0.948	1.636	0.528	2.171	0.618	0.843	10.009	1.047	2.417	7.785	0.826	4.709	7.003	2.463	2.768	1.568	9.692	2.887	1.923	0.412	1.174	5.207	0.823	4.011	1.891	10.001	8.72	1.808	0.562	3.685	4.167	2.859	3.869	10.001	3.688	3.573	8.003	10.001	10.002	
10.001	10.001	10.002	2.913	5.037	4.879	2.97	1.682	3.42	1.161	5.664	3.226	2.074	0.695	2.25	0.742	2.529	4.712	2.451	0.948	0.518	0.283	3.126	2.774	0.491	0.761	1.086	2.91	0.627	0.366	4.897	0.755	6.073	1.056	0.414	3.495	10.002	3.446	0.725	7.898	0.426	0.54	4.29	0.578	4.258	2.29	2.122	2.317	1.232	3.332	1.876	2.05	4.089	3.188	2.638	6.642	0.909	4.653	5.589	2.153	1.188	
10.001	10.003	7.089	3.152	3.721	5.05	7.437	1.711	5.819	2.322	1.136	2.316	0.943	0.77	1.51	1.39	1.946	0.089	0.121	2.894	0.258	0.95	0.152	1.269	1.688	10.001	0.069	0.459	0.276	8.629	4.256	0.58	0.78	7.556	4.203	2.049	2.174	1.023	3.518	2.35	9.612	7.074	1.884	4.245	3.759	5.327	1.523	6.705	7.104	4.626	3.44	8.552	2.401	8.921	2.853	0.538	4.751	3.901	5.111	1.609	0.577	
10.002	10.003	10.002	7.694	2.376	1.778	0.66	1.568	1.925	1.815	2.032	2.327	0.62	1.569	0.519	0.613	1.948	0.712	0.71	2.122	3.872	0.827	1.677	6.711	0.615	4.354	0.515	1.267	5.526	4.841	5.99	1.447	0.578	0.847	2.15	0.773	1.009	3.859	1.419	1.44	10.002	0.441	1.582	2.696	2.886	10.002	2.073	2.917	2.607	1.858	0.619	1.85	6.926	4.127	0.32	2.473	10.001	7.021	3.232	6.783	2.272	
10.002	10.002	10.002	6.417	0.308	2.115	2.576	2.643	1.784	5.057	1.364	0.962	1.649	6.266	1.704	0.583	0.102	5.102	4.285	0.663	4.436	4.644	2.754	0.755	0.282	2.122	6.107	3.663	0.913	1.829	0.994	3.928	0.273	1.382	5.471	3.574	5.173	0.875	3.455	2.748	1.798	0.465	2.117	3.876	10.001	0.785	6.261	0.475	4.221	0.843	2.359	0.861	10.003	6.015	1.903	2.57	7.838	1.64	0.689	2.366	1.894	
